domain,score,tranco_rank,category,sector_tags,theme,plugins,homepage_kb,verified_at,screenshot
beitbridgemun.co.zw,100,,government,other,beitbridge,bdthemes-prime-slider-lite;contact-form-7;elementor;elementskit-lite;pro-elements;the-events-calendar;wp-data-access,131,2026-05-01T12:35:56.205090+00:00,screenshots/beitbridgemun.co.zw.png
uzt.org.zw,100,,ngo,legal,hello-elementor,click-to-chat-for-whatsapp;download-manager;elementor;elementor-pro;elementskit-lite;essential-addons-for-elementor-lite;powerpack-lite-for-elementor;wpforms-lite,103,2026-05-01T12:35:56.995366+00:00,screenshots/uzt.org.zw.png
stonewarehouse.co.zw,100,,business,retail,oceanwp-child,addon-elements-for-elementor-page-builder;addons-for-elementor;creame-whatsapp-me;elementor;essential-addons-for-elementor-lite;ocean-extra;ocean-sticky-header;premium-addons-for-elementor;real-time-auto-find-and-replace;wpforms,112,2026-05-01T12:36:00.043144+00:00,screenshots/stonewarehouse.co.zw.png
matrixtaxschool.co.zw,100,,education,legal,phlox,auxin-elements;elementor;smart-slider-3,86,2026-05-01T12:36:01.063129+00:00,screenshots/matrixtaxschool.co.zw.png
casmo.co.zw,100,,business,tech,twentytwentyone,,74,2026-05-01T12:36:01.987840+00:00,screenshots/casmo.co.zw.png
caterzone.co.zw,100,,business,hospitality;retail,bridge,LayerSlider;js_composer;photo-gallery;portfolio-gallery-master;revslider,69,2026-05-01T12:36:05.722527+00:00,screenshots/caterzone.co.zw.png
partyplug.co.zw,85,,business,hospitality;retail,elessi-theme,assets;christmasify;complianz-gdpr;contact-form-7;creame-whatsapp-me;instagram-feed;lw-wc-whatsapp-order;nasa-core;revslider;woocommerce,164,2026-05-01T12:36:05.856008+00:00,screenshots/partyplug.co.zw.png
votewatch263.org.zw,100,,ngo,other,bridge-child,LayerSlider;addons-for-visual-composer;contact-form-7;download-manager;facebook-likebox;heateor-social-comments;js_composer;qode-news,180,2026-05-01T12:36:07.277087+00:00,screenshots/votewatch263.org.zw.png
renewal.org.zw,100,,ngo,other,mega-charity,anti-spam;contact-form-7;give;ibtana-ecommerce-product-addons,123,2026-05-01T12:36:11.394647+00:00,screenshots/renewal.org.zw.png
nasdec.co.zw,100,,business,real-estate,conult,contact-form-7;conult-themer;elementor;jetpack;the-events-calendar;woocommerce;wp-whatsapp,134,2026-05-01T12:36:15.429179+00:00,screenshots/nasdec.co.zw.png
vgptechnologies.co.zw,100,,business,tech,car-repair-services,auto-repair-search;contact-form-7;cookie-notice;estimate-plugin;js_composer;woocommerce,94,2026-05-01T12:36:15.624455+00:00,screenshots/vgptechnologies.co.zw.png
cdr.co.zw,100,,blog,tech;media,Divi,xagio-seo,300,2026-05-01T12:36:19.934100+00:00,screenshots/cdr.co.zw.png
kcphotography.co.zw,100,,business,media,newton,arconix-portfolio;icegram-rainmaker;instagram-feed;master-slider,31,2026-05-01T12:36:24.881347+00:00,screenshots/kcphotography.co.zw.png
kutsaga.co.zw,98,,business,agriculture;tech,ecogrow,advanced-popups;agile-store-locator;breeze;download-manager;elementor;elementskit-lite;event-tickets;instagram-feed;liveforms;revslider;trx_addons;woocommerce,265,2026-05-01T12:36:26.911635+00:00,screenshots/kutsaga.co.zw.png
sunrysolarsystems.co.zw,100,,business,energy;tech,financity,contact-form-7;elementor;goodlayers-core;google-analytics-for-wordpress;revslider;whatsapp-for-wordpress;wp-google-map-plugin;wp-smush-pro,143,2026-05-01T12:36:28.471646+00:00,screenshots/sunrysolarsystems.co.zw.png
naturalair.co.zw,73,,business,tech;retail;energy,acrepair,cardoza-facebook-like-box;contact-form-7;elementor;google-site-kit;jetpack;mailchimp-for-wp;revslider;wp-consent-api;wp-whatsapp-chat,119,2026-05-01T12:36:36.059983+00:00,screenshots/naturalair.co.zw.png
medpride.co.zw,100,,other,other,oceanwp,elementor;ocean-extra,137,2026-05-01T12:36:36.918053+00:00,screenshots/medpride.co.zw.png
cbf.co.zw,100,,business,tech;retail,sparklestore,better-wp-security;contact-form-7;mystickymenu;responsive-accordion-and-collapse;woo-rfq-for-woocommerce;woocommerce;woocommerce-grid-list-toggle;yith-woocommerce-compare;yith-woocommerce-quick-view;yith-woocommerce-wishlist,101,2026-05-01T12:36:40.416748+00:00,screenshots/cbf.co.zw.png
umguzardc.org.zw,100,,government,other,moniz,betterdocs;contact-form-7;elementor;kirki;moniz-addon;smart-recent-posts-widget;woocommerce;wp-job-manager;wp-whatsapp;yith-woocommerce-wishlist,129,2026-05-01T12:36:43.372271+00:00,screenshots/umguzardc.org.zw.png
naturesfoods.co.zw,100,,ecommerce,agriculture;retail,naturesfood,Paynow-for-WooCommerce-master;addons-for-visual-composer;ajax-login-and-registration-modal-popup;contact-form-7;js_composer;modeltheme-framework;revslider;woocommerce;yith-woocommerce-compare;yith-woocommerce-wishlist,244,2026-05-01T12:36:44.202807+00:00,screenshots/naturesfoods.co.zw.png
qrent.co.zw,100,,ecommerce,tech;retail,Divi,formidable,172,2026-05-01T12:36:47.964347+00:00,screenshots/qrent.co.zw.png
barons.co.zw,100,,ecommerce,retail;transport,Divi,xagio-seo,154,2026-05-01T12:36:48.419785+00:00,screenshots/barons.co.zw.png
iconmarketing.co.zw,100,,business,tech;media,hello-elementor,elementor;header-footer-elementor;premium-addons-for-elementor;royal-elementor-addons,143,2026-05-01T12:36:50.735335+00:00,screenshots/iconmarketing.co.zw.png
qb.co.zw,100,,business,tech;finance,customify,contact-form-7;elementor;woocommerce,110,2026-05-01T12:36:50.967741+00:00,screenshots/qb.co.zw.png
kiggen.co.zw,100,,business,real-estate,Divi,Divi-Ultimate-Footer-Plugin;popups-for-divi;xagio-seo,152,2026-05-01T12:36:58.442224+00:00,screenshots/kiggen.co.zw.png
radiozim.co.zw,100,,news,media,proradio,contact-form-7;elementor;icons2go;proradio-chartvote;proradio-dedications;proradio-elementor;proradio-reaktions;proradio-sidekick;proradio-simplechat;proradio-swipebox;proradio-videogalleries;qt-places;qtmplayer,214,2026-05-01T12:37:00.476776+00:00,screenshots/radiozim.co.zw.png
neguschronicles.co.zw,100,,blog,media,smart-mag,cleantalk-spam-protect;elementor;responsivevoice-text-to-speech,164,2026-05-01T12:37:01.929262+00:00,screenshots/neguschronicles.co.zw.png
